id_parlamentar;id_parlamentar_parlametria;casa;legislatura;nome;partido;uf;situacao;em_exercicio;governismo;disciplina;partido_disciplina;partido_atual;votos_validos;num_seguiu;bancada_suficiente;;;;;;;;;;
160535;1160535;camara;54;Marcon;PT;RS;Titular;1;-4,553898431;0,947046843;PT;PT;491;465;VERDADEIRO;;;;;;;;;;
204370;1204370;camara;56;Célio Moura;PT;TO;Titular;1;-4,519389262;0,940239044;PT;PT;502;472;VERDADEIRO;;;;;;;;;;
74376;174376;camara;52;Vander Loubet;PT;MS;Titular;1;-4,435676556;0,951882845;PT;PT;478;455;VERDADEIRO;;;;;;;;;;
74156;174156;camara;52;Leonardo Monteiro;PT;MG;Titular;1;-4,218194796;0,93125;PT;PT;480;447;VERDADEIRO;;;;;;;;;;
204559;1204559;camara;56;Zé Neto;PT;BA;Titular;1;-4,175387248;0,930232558;PT;PT;430;400;VERDADEIRO;;;;;;;;;;
5533;25533;senado;55;Lasier Martins;PODEMOS;RS;Titular;1;-4,145146444;0,835616438;PODEMOS;PODEMOS;73;61;VERDADEIRO;;;;;;;;;;
73701;173701;camara;54;Benedita Da Silva;PT;RJ;Titular;1;-4,119187424;0,933884298;PT;PT;484;452;VERDADEIRO;;;;;;;;;;
178925;1178925;camara;55;Rejane Dias;PT;PI;Titular;1;-4,014745781;0,898947368;PT;PT;475;427;VERDADEIRO;;;;;;;;;;
74784;174784;camara;51;Luiza Erundina;PSOL;SP;Titular;1;-3,975394216;0,883299799;PSOL;PSOL;497;439;VERDADEIRO;;;;;;;;;;
74161;174161;camara;52;Reginaldo Lopes;PT;MG;Titular;1;-3,924843764;0,95483871;PT;PT;465;444;VERDADEIRO;;;;;;;;;;
74159;174159;camara;52;Odair Cunha;PT;MG;Titular;1;-3,820585488;0,933486239;PT;PT;436;407;VERDADEIRO;;;;;;;;;;
69871;169871;camara;55;Bacelar;PODE;BA;Titular;1;-3,733576021;0,235756385;PODEMOS;PODEMOS;509;120;VERDADEIRO;;;;;;;;;;
178887;1178887;camara;55;Rubens Pereira Júnior;PCdoB;MA;Titular;0;-3,72809382;0,724489796;PCdoB;PCdoB;98;71;VERDADEIRO;;;;;;;;;;
5905;25905;senado;56;Rodrigo Cunha;PSDB;AL;Titular;1;-3,710148325;0,739726027;PSDB;PSDB;73;54;VERDADEIRO;;;;;;;;;;
160570;1160570;camara;54;Jerônimo Goergen;PP;RS;Titular;1;3,44262434;0,887468031;PP;PP;391;347;VERDADEIRO;;;;;;;;;;
204561;1204561;camara;56;Bira Do Pindaré;PSB;MA;Titular;1;-3,654088858;0,868173258;PSB;PSB;531;461;VERDADEIRO;;;;;;;;;;
5959;25959;senado;56;Styvenson Valentim;PODEMOS;RN;Titular;1;-3,52455387;0,864864865;PODEMOS;PODEMOS;74;64;VERDADEIRO;;;;;;;;;;
5982;25982;senado;56;Alessandro Vieira;CIDADANIA;SE;Titular;1;-3,519933798;0,905405405;CIDADANIA;CIDADANIA;74;67;VERDADEIRO;;;;;;;;;;
160511;1160511;camara;54;Alessandro Molon;PSB;RJ;Titular;1;-3,456587811;0,904051173;PSB;PSB;469;424;VERDADEIRO;;;;;;;;;;
204389;1204389;camara;56;Elias Vaz;PSB;GO;Titular;1;-3,358983661;0,853658537;PSB;PSB;574;490;VERDADEIRO;;;;;;;;;;
204352;1204352;camara;56;Camilo Capiberibe;PSB;AP;Titular;1;-3,303736888;0,898876404;PSB;PSB;534;480;VERDADEIRO;;;;;;;;;;
5748;25748;senado;56;Veneziano Vital do Rêgo;MDB;PB;Titular;1;-3,248096792;0,673076923;PSB;MDB;52;35;;;;;;;;;;;
5748;25748;senado;56;Veneziano Vital do Rêgo;MDB;PB;Titular;1;-3,248096792;0,5;MDB;MDB;12;6;VERDADEIRO;;;;;;;;;;
74057;174057;camara;52;Alice Portugal;PCdoB;BA;Titular;1;-3,190726566;0,904255319;PCdoB;PCdoB;564;510;VERDADEIRO;;;;;;;;;;
5718;25718;senado;56;Eliziane Gama;CIDADANIA;MA;Titular;1;-3,182096603;0,827586207;CIDADANIA;CIDADANIA;58;48;VERDADEIRO;;;;;;;;;;
160601;1160601;camara;54;Pr. Marco Feliciano;REPUBLICANOS;SP;Titular;1;4,031282135;0,901515152;REPUBLICANOS;REPUBLICANOS;264;238;VERDADEIRO;;;;;;;;;;
5924;25924;senado;56;Oriovisto Guimarães;PODEMOS;PR;Titular;1;-3,164804994;0,846153846;PODEMOS;PODEMOS;65;55;VERDADEIRO;;;;;;;;;;
204394;1204394;camara;56;Gervásio Maia;PSB;PB;Titular;1;-3,122043791;0,881034483;PSB;PSB;580;511;VERDADEIRO;;;;;;;;;;
73801;173801;camara;52;Renildo Calheiros;PCdoB;PE;Titular;1;-3,1074391;0,900369004;PCdoB;PCdoB;542;488;VERDADEIRO;;;;;;;;;;
74060;174060;camara;52;Daniel Almeida;PCdoB;BA;Titular;1;-3,089234596;0,896703297;PCdoB;PCdoB;455;408;VERDADEIRO;;;;;;;;;;
204483;1204483;camara;56;Vilson Da Fetaemg;PSB;MG;Titular;1;-3,058999989;0,876106195;PSB;PSB;565;495;VERDADEIRO;;;;;;;;;;
81055;181055;camara;56;Márcio Jerry;PCdoB;MA;Titular;0;-3,038782253;0,891566265;PCdoB;PCdoB;498;444;VERDADEIRO;;;;;;;;;;
204542;1204542;camara;56;Denis Bezerra;PSB;CE;Titular;1;-3,017117358;0,88277087;PSB;PSB;563;497;VERDADEIRO;;;;;;;;;;
204558;1204558;camara;56;Marcelo Nilo;PSB;BA;Titular;1;-2,99103017;0,890034364;PSB;PSB;582;518;VERDADEIRO;;;;;;;;;;
160641;1160641;camara;54;Professora Marcivania;PCdoB;AP;Titular;1;-2,986157464;0,894;PCdoB;PCdoB;500;447;VERDADEIRO;;;;;;;;;;
5976;25976;senado;56;Eduardo Girão;PODEMOS;CE;Titular;1;-2,896328722;0,794871795;PODEMOS;PODEMOS;78;62;VERDADEIRO;;;;;;;;;;
74848;174848;camara;51;Jandira Feghali;PCdoB;RJ;Titular;1;-2,797158831;0,898635478;PCdoB;PCdoB;513;461;VERDADEIRO;;;;;;;;;;
160653;1160653;camara;54;Roberto De Lucena;PODE;SP;Titular;1;2,336843542;0,717344754;PODEMOS;PODEMOS;467;335;VERDADEIRO;;;;;;;;;;
5376;25376;senado;56;Mara Gabrilli;PSDB;SP;Titular;1;-2,78125806;0,761904762;PSDB;PSDB;42;32;VERDADEIRO;;;;;;;;;;
204468;1204468;camara;56;Joenia Wapichana;REDE;RR;Titular;1;-2,740371804;0,681818182;REDE;REDE;528;360;FALSO;;;;;;;;;;
204533;1204533;camara;56;Idilvan Alencar;PDT;CE;Titular;1;-2,738596619;0,816901408;PDT;PDT;568;464;VERDADEIRO;;;;;;;;;;
178922;1178922;camara;55;Tadeu Alencar;PSB;PE;Titular;1;-2,736175197;0,904878049;PSB;PSB;410;371;VERDADEIRO;;;;;;;;;;
178987;1178987;camara;55;Orlando Silva;PCdoB;SP;Titular;1;-2,718807373;0,885245902;PCdoB;PCdoB;427;378;VERDADEIRO;;;;;;;;;;
204429;1204429;camara;56;João H. Campos;PSB;PE;Titular;0;-2,605502916;0,888888889;PSB;PSB;414;368;VERDADEIRO;;;;;;;;;;
160528;1160528;camara;54;Danilo Cabral;PSB;PE;Titular;1;-2,534801461;0,887755102;PSB;PSB;490;435;VERDADEIRO;;;;;;;;;;
178964;1178964;camara;55;Heitor Schuch;PSB;RS;Titular;1;-2,508092777;0,904958678;PSB;PSB;484;438;VERDADEIRO;;;;;;;;;;
73943;173943;camara;52;Perpétua Almeida;PCdoB;AC;Titular;1;-2,458557679;0,886792453;PCdoB;PCdoB;530;470;VERDADEIRO;;;;;;;;;;
74419;174419;camara;51;Gonzaga Patriota;PSB;PE;Titular;1;-2,447920939;0,890186916;PSB;PSB;428;381;VERDADEIRO;;;;;;;;;;
178927;1178927;camara;55;Aliel Machado;PSB;PR;Titular;1;-2,422850667;0,848970252;PSB;PSB;437;371;VERDADEIRO;;;;;;;;;;
141439;1141439;camara;53;Chico D'angelo;PDT;RJ;Titular;1;-2,414397822;0,892241379;PDT;PDT;464;414;VERDADEIRO;;;;;;;;;;
178951;1178951;camara;55;Rafael Motta;PSB;RN;Titular;1;-2,276873568;0,865470852;PSB;PSB;446;386;VERDADEIRO;;;;;;;;;;
141508;1141508;camara;53;Mauro Nazif;PSB;RO;Titular;1;-2,218838979;0,777192982;PSB;PSB;570;443;VERDADEIRO;;;;;;;;;;
74299;174299;camara;52;Leônidas Cristino;PDT;CE;Titular;1;-2,154706616;0,88952381;PDT;PDT;525;467;VERDADEIRO;;;;;;;;;;
171619;1171619;camara;54;Margarida Salomão;PT;MG;Titular;1;-4,304692861;0,952941176;PT;PT;425;405;VERDADEIRO;;;;;;;;;;
178874;1178874;camara;55;Sergio Vidigal;PDT;ES;Titular;0;-2,062323844;0,819095477;PDT;PDT;398;326;VERDADEIRO;;;;;;;;;;
74439;174439;camara;51;Wolney Queiroz;PDT;PE;Titular;1;-2,06175845;0,905781585;PDT;PDT;467;423;VERDADEIRO;;;;;;;;;;
133968;1133968;camara;56;Paulo Ramos;PDT;RJ;Titular;1;-2,010249773;0,880361174;PDT;PDT;443;390;VERDADEIRO;;;;;;;;;;
133439;1133439;camara;52;André Figueiredo;PDT;CE;Titular;1;-1,938052827;0,904942966;PDT;PDT;526;476;VERDADEIRO;;;;;;;;;;
204530;1204530;camara;56;Rodrigo Agostinho;PSB;SP;Titular;1;-1,877641159;0,720640569;PSB;PSB;562;405;VERDADEIRO;;;;;;;;;;
177282;1177282;camara;54;Subtenente Gonzaga;PDT;MG;Titular;1;-1,854785212;0,822;PDT;PDT;500;411;VERDADEIRO;;;;;;;;;;
73586;173586;camara;51;Júlio Delgado;PSB;MG;Titular;1;-1,844198017;0,828793774;PSB;PSB;514;426;VERDADEIRO;;;;;;;;;;
5666;25666;senado;56;Major Olimpio;PSL;SP;Titular;1;-1,822261921;1;PSL;PSL;61;61;FALSO;;;;;;;;;;
178835;1178835;camara;54;Afonso Motta;PDT;RS;Titular;1;-1,258367703;0,828096118;PDT;PDT;541;448;VERDADEIRO;;;;;;;;;;
178836;1178836;camara;55;Alan Rick;DEM;AC;Titular;1;2,607864147;0,840740741;DEM;DEM;540;454;VERDADEIRO;;;;;;;;;;
141411;1141411;camara;53;Dagoberto Nogueira;PDT;MS;Titular;1;-1,819683442;0,885601578;PDT;PDT;507;449;VERDADEIRO;;;;;;;;;;
204543;1204543;camara;56;Luiz Flávio Gomes;PSB;SP;Titular;0;-1,801834813;0,442176871;PSB;PSB;147;65;VERDADEIRO;;;;;;;;;;
204383;1204383;camara;56;Professor Israel Batista;PV;DF;Titular;1;-1,801125736;0,436432638;PV;PV;527;230;FALSO;;;;;;;;;;
204488;1204488;camara;56;Célio Studart;PV;CE;Titular;1;-1,705696827;0,437392796;PV;PV;583;255;FALSO;;;;;;;;;;
74158;174158;camara;52;Mário Heringer;PDT;MG;Titular;1;-1,678351261;0,901685393;PDT;PDT;356;321;VERDADEIRO;;;;;;;;;;
74467;174467;camara;51;Damião Feliciano;PDT;PB;Titular;1;-1,566155078;0,869668246;PDT;PDT;422;367;VERDADEIRO;;;;;;;;;;
206231;1206231;camara;56;Ted Conti;PSB;ES;Suplente;1;-1,559552498;0,804270463;PSB;PSB;562;452;VERDADEIRO;;;;;;;;;;
204486;1204486;camara;56;Mauro Benevides Filho;PDT;CE;Titular;0;-1,540448891;0,873056995;PDT;PDT;386;337;VERDADEIRO;;;;;;;;;;
5926;25926;senado;56;Lucas Barreto;PSD;AP;Titular;1;-1,536478259;0,753623188;PSD;PSD;69;52;VERDADEIRO;;;;;;;;;;
160598;1160598;camara;54;Flávia Morais;PDT;GO;Titular;1;-1,536214003;0,835955056;PDT;PDT;445;372;VERDADEIRO;;;;;;;;;;
73486;173486;camara;51;Pompeo De Mattos;PDT;RS;Titular;1;-1,489427319;0,835051546;PDT;PDT;485;405;VERDADEIRO;;;;;;;;;;
22;222;senado;56;Esperidião Amin;PP;SC;Titular;1;-1,440931693;0,742857143;PP;PP;70;52;VERDADEIRO;;;;;;;;;;
5322;25322;senado;55;Romário;PODEMOS;RJ;Titular;1;-1,336418923;0,841269841;PODEMOS;PODEMOS;63;53;VERDADEIRO;;;;;;;;;;
204489;1204489;camara;56;Robério Monteiro;PDT;CE;Titular;1;-1,321829632;0,856353591;PDT;PDT;543;465;VERDADEIRO;;;;;;;;;;
2331;22331;senado;55;Rose de Freitas;MDB;ES;Titular;1;-1,179768177;0,705882353;PODEMOS;MDB;51;36;;;;;;;;;;;
2331;22331;senado;55;Rose de Freitas;MDB;ES;Titular;1;-1,179768177;0,545454545;MDB;MDB;11;6;VERDADEIRO;;;;;;;;;;
73460;173460;camara;51;Gustavo Fruet;PDT;PR;Titular;1;-1,092709964;0,77852349;PDT;PDT;447;348;VERDADEIRO;;;;;;;;;;
90;290;senado;51;José Serra;PSDB;SP;Titular;1;-1,03935072;0,841269841;PSDB;PSDB;63;53;VERDADEIRO;;;;;;;;;;
160666;1160666;camara;54;Félix Mendonça Júnior;PDT;BA;Titular;1;-0,996276658;0,824719101;PDT;PDT;445;367;VERDADEIRO;;;;;;;;;;
204435;1204435;camara;56;Jesus Sérgio;PDT;AC;Titular;1;-0,93941947;0,783037475;PDT;PDT;507;397;VERDADEIRO;;;;;;;;;;
4525;24525;senado;54;Fernando Collor;PROS;AL;Titular;1;-0,923460706;0,745762712;PROS;PROS;59;44;VERDADEIRO;;;;;;;;;;
178884;1178884;camara;55;Hildo Rocha;MDB;MA;Titular;1;2,155387148;0,783105023;MDB;MDB;438;343;VERDADEIRO;;;;;;;;;;
178886;1178886;camara;55;Juscelino Filho;DEM;MA;Titular;1;2,949348011;0,870558376;DEM;DEM;394;343;VERDADEIRO;;;;;;;;;;
