"","id","uri","sigla","nome","apelido","codTipoOrgao","tipoOrgao","nomePublicacao"
"1062",100693,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100693","MPV45208","Dá nova redação à Lei no 11.887, de 24 de dezembro de 2008, que cria o Fundo Soberano do Brasil - FSB, e à Lei no 11.314, de 3 de julho de 2006, que autoriza o Departamento Nacional de Infra-Estrutura de Transportes - DNIT a executar obras nas rodovias transferidas a entes da Federação, e dá outras providências.","MPV45208",9,"Comissão Medida Provisória","MPV45208"
"1063",100694,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100694","MPV45309","Constitui fonte adicional de recursos para ampliação de limites operacionais do Banco Nacional de Desenvolvimento Econômico e Social - BNDES e dá outras providências.","MPV45309",9,"Comissão Medida Provisória","MPV45309"
"1064",100695,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100695","FCC","Frente Comunitária e Cidadania","",70000,"Sociedade Civil",""
"1065",100696,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100696","ACRC","Associação Comunitária da Região Centro e Adjacências","",70000,"Sociedade Civil",""
"1066",100697,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100697","MPV45409","Dá nova redação aos arts. 2o, 3o e 4o da Lei no 10.304, de 5 de novembro de 2001, que transfere ao domínio do Estado de Roraima terras pertencentes à União.","MPV45409",9,"Comissão Medida Provisória","MPV45409"
"1067",100698,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100698","MPV45509","Dispõe sobre o atendimento da alimentação escolar e do Programa Dinheiro Direto na Escola aos alunos da educação básica, altera a Lei no 10.880, de 9 de junho de 2004, e dá outras providências.","MPV45509",9,"Comissão Medida Provisória","MPV45509"
"1068",100699,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100699","MPV45609","Dispõe sobre o salário mínimo a partir de 1o de fevereiro de 2009.","MPV45609",9,"Comissão Medida Provisória","MPV45609"
"1069",100700,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100700","MPV45709","Altera os arts. 96 e 102 da Lei no 11.196, de 21 de novembro de 2005, que dispõem sobre parcelamento de débitos de responsabilidade dos Municípios, decorrentes de contribuições sociais de que tratam as alíneas ""a"" e ""c"" do parágrafo único do art. 11 da Lei no 8.212, de 24 de julho de 1991.","MPV45709",9,"Comissão Medida Provisória","MPV45709"
"1070",100701,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100701","MPV45809","Dispõe sobre a regularização fundiária das ocupações incidentes em terras situadas em áreas da União, no âmbito da Amazônia Legal, altera as Leis nos 8.666, de 21 de junho de 1993, 6.015, de 31 de dezembro de 1973, 6.383, de 7 de dezembro 1976, e 6.925, de 29 de junho de 1981, e dá outras providências.","MPV45809",9,"Comissão Medida Provisória","MPV45809"
"1071",100702,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100702","CDDH","Centro de Defesa da Cidadania e dos Direitos Humanos Marçal de Souza Tupã-I","",70000,"Sociedade Civil",""
"1072",100703,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100703","SINDPRODEM","Sindicato dos Trabalhadores Promotores, Repositores e Demonstradores de Merchandising do Estado de São Paulo","",70000,"Sociedade Civil",""
"1073",100704,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100704","STIUEP","Sindicato dos Trabalhadores nas Indústrias Urbanas do Estado do Pará","",70000,"Sociedade Civil",""
"1074",100705,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100705","MPV45909","Dispõe sobre o Programa Minha Casa, Minha Vida - PMCMV, a regularização 	fundiária de assentamentos localizados em áreas urbanas, e dá outras providências.","MPV45909",9,"Comissão Medida Provisória","MPV45909"
"1075",100706,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100706","MPV46009","Dá nova redação aos arts. 4o e 8o da Lei no 10.931, de 2 de agosto de 2004, que tratam de patrimônio de afetação de incorporações imobiliárias, dispõe sobre o tratamento tributário a ser dado às receitas mensais auferidas pelas empresas construtoras nos contratos de construção de moradias firmados dentro do Programa Minha Casa, Minha Vida - PMCMV, atribui à Agência Nacional de Telecomunicações - ANATEL as atribuições de apurar, constituir, fiscalizar e arrecadar a Contribuição para o Fomento da Radiodifusão.","MPV46009",9,"Comissão Medida Provisória","MPV46009"
"1076",100707,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100707","MPV46109","Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$ 300.000.000,00, para os fins que especifica.","MPV46109",9,"Comissão Medida Provisória","MPV46109"
"1077",100709,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100709","UNE","União Nacional dos Estudantes","",70000,"Sociedade Civil",""
"1078",100710,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100710","SIMERS","Sindicato Médico do Rio Grande do Sul","",70000,"Sociedade Civil",""
"1079",100711,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100711","MPV46209","Dispõe sobre a prestação de apoio financeiro pela União aos entes federados que recebem recursos do Fundo de Participação dos Municípios - FPM, no exercício de 2009, com o objetivo de superar dificuldades financeiras emergenciais, e dá outras providências.","MPV46209",9,"Comissão Medida Provisória","MPV46209"
"1080",100713,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100713","SINPROFAZ","Sindicato Nacional dos Procuradores da Fazenda Nacional","",70000,"Sociedade Civil",""
"1081",100714,"https://dadosabertos.camara.leg.br/api/v2/orgaos/100714","MPV46309","Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo, no valor global de R$1.217.677.730,00, para os fins que especifica.","MPV46309",9,"Comissão Medida Provisória","MPV46309"
